A.bte	abbots
Eingang (m)	entry
Eingeborene (m)	native
Eingeborenen [Noun]	natives
Eingeweihte (m)(f)	insider
Einkauf (m)	shopping
Einkaufen (n)	shopping
Einkaufgebiet (n)	shopping area
Einkaufszentrum (n)	shopping center
Einkauftasche (f)	shopping bag
Einladung (f)	invitation
Einlage (f)	deposit
Einlage (f)	insert
Einlaß (m)	entrance
Einlegeboden (m)	shelf
Einrichtung (f)	establishment
Einrichtungen[Noun]	facilities
Einsacker, der	bagger
Einsacker, die	baggers
Einsatz (m)	inset
Einschlag (m)	envelope
Einschnitt (m)	incision
Einschreibebrief (m)	registered letter
Einsparungen (pl)	savings
Einsteinium[Noun]	einsteinium
Einstellung (f)	adjustment
Einstellung (f)	justification
Einstellung (f)	setting
Eintrag (m)	entry
Eintritt (m)	entrance
Eintritt (m)	entry
Eintritt frei	admission free
Eintritt[Noun]	admission
Eintritte	admissions
Eintrittskarte (f)	ticket
Einwa.nde[Noun]	objections
Einwand[Noun]	objection
Einwanderer (m)	immigrant
Einzug (m)	entry
Einzäunung (f)	fence
Eis (n)	ice
Eis (n)	ice cream
Eis[Noun]	ice
Eisapfen	icicles
Eisapfen	icicles
Eisberg[Noun]	iceberg
Eisberge[Noun]	icebergs
Eisbrecher[Noun]	icebreaker
Eisen (n)	iron
Eisenbahnzug (m)	train
Eisenwaren (f)	hardware
Eisenwarengeschäft (n)	hardware store
Eiskegel (m)	ice cream cone
Eisschrank (m)	refrigerator
Eissundae (n)	ice cream sundae
Eiswürfel (pl)	ice cubes
Eiszapfen[Noun]	icicle
Eiterung, Vereiterung[Noun]	ulceration
Eiterungen[Noun]	ulcerations
Ekel (m)	nausea
Elastizita.t[Noun]	elasticity
Elefant (m)	elephant
Elektrifikation[Noun]	electrification
Elektriker[Noun]	electrician
Elektriker[Noun]	electricians
Elektrizität (f)	electricity
Elektromagnetisch[Adjective]	magnetoelectric
Elendsviertel (n)	slum
Elfenbein (n)	ivory
Elizabet	Elizabeth
Ellbogen (m)	elbow
Elle (f)	yard
Elle[Noun]	ulna
Elster[Noun]	magpie
Elstern[Noun]	magpies
Eltern (f)	parent
Empfang (m)	reception
Empfänger (m)	addressee
Ende (n)	end
Engel	angel
Engelfisch	angelfish
England	England
Englisch-sprechend	English-speaking
Englischesprache (f)	English language
Enkel (m)	grandson
Enkelin (f)	granddaughter
Enkelsohn (m)	grandson
Enkeltochter (f)	granddaughter
Entbindung (f)	delivery
Entdeckung (f)	discovery
Ente (f)	duck
Entfu.hrer[Noun]	kidnapper
Entfu.hrung	abduction
Entfu.hrungen	abductions
Entfuehrer	abductor
Entlein[Noun]	duckling
Entschluss (m)	conclusion
Entschuldigung (f)	excuse
Entspannend[Adjective]	unbending
Entstehung (f)	origin
Entwickler (m)	developer
Entwicklung (f)	development
Entwurf (m)	project
Epost (f)	email
Equador	Ecuador
Erbsen	peas
Erbsen (pl)	peas
Erbsensuppe (f)	peasoup
Erdbeben (n)	earthquake
Erdbeben (n)[Noun]	earthquakes
Erdbeere (f)	strawberry
Erde (f)	earth
Erde (f)	ground
Erdferkel	aardvark
Erdferkel	aardvarks
Erdgeschoß (n)	ground floor
Erdkugel (f)	globe
Erdnuß (f)	peanut
Erdschatten[Noun]	umbra
Erdteil (m)	continent
Erdung (f)	earth
Erfrischungen (pl)	refreshment bar
Ergänzung (f)	appendix
Erhöhung (f)	raise
Erhöhung (f)	rise
Erinnerung (f)	memory
Erkrankung (f)	illness
Erkältung (f)	cold
Erlaubnis (m)	permit
Erniedriger[Noun]	abaser
Erniedrigung, Demu.tigung	abasement
Erniedrigung, Demütigung[Noun]	abasements
Ernsthaftigkeit[Noun]	earnestness
Erpel[Noun]	drake
Erscheinung	appearance
Erscheinungen	appearances
Ersparnisse (pl)	savings
Ertrag (m)	return
Ertrag (m)	yield
Erwachsene	adult
Erwachsene	adults
Erweiterung (f)	extension
Erwiderung (f)	return
Erwärmung (f)	heating
Erzieher[Noun]	educationalist
Erzieher[Noun]	educationist
Erziehung[Noun]	education
Erzähler[Noun]	narrator
Erzähler[Noun]	narrators
Erzählung (f)	story
Erzählung (f)[Noun]	narration
Erzählungen[Noun]	narrations
Eröffnung	opening
Esel (m)	jackass
Esel[Noun]	donkey
Essen (n)	food
Esser[Noun]	eater
Essig (m)	vinegar
Essigfrüchte (pl)	pickles
Etage (f)	floor
Etage (f)	story
Etappe (f)	hop
Etappe (f)	stage
Etikett (n)	label
Evangelist (m)	evangelist
Evangelistin (f)	evangelist
Ex-(...)	ex-(...)
Export (m)	export
Exportation (f)	export
Exporteur (m)	exporter
Expreß (n)	express
Expreß (n)	express train
Exultation (f)	triumph
Eßstäbchen (pl)	chopsticks
FRIEDENSSTIFTER[Noun]	pacifier
Fabel[Noun]	fable
Fabrik (f)	factory
Fabriken[Noun]	factories
Faehigkeit	ability
Faehigkeit[Noun]	capableness
Fahne (f)	flag
Fahnenstange (f)	flag pole
Fahre (f)	travel
Fahrer (m)	driver
Fahrerhaus[Noun]	cab
Fahrgeld (n)	fare
Fahrkarte (f)	ticket
Fahrkarten	booking office
Fahrkartenschalter (m)	ticket office
Fahrkartenschreiber (m)	ticket clerk
Fahrkartenvertreter (m)	ticket agent
Fahrplan (m)	schedule
Fahrpreis (m)	fare
Fahrrad	bicycle
Fahrrad (m)	bicycle
Fahrrad[Noun]	bike
Fahrstuhl (m)	elevator
Fahrstuhltür (f)	elevator door
Fahrt (f)	ride
Fahrzeug[Noun]	vehicle
Fahrzeuge[Noun]	vehicles
Faktor[Noun]	factor
Familie (f)	family
Fan (m)	fan
Farbe (f)	color
Farbe (f)	paint
Farbe (f)	suit
Farbespülen (n)	color rinse
Farbton (m)	shade
Farmer (m)	farmer
Fasan (m)	pheasant
Fassade (f)	façade
Fassade[Noun]	facade
Fassung (f)	version
Faust (f)	fist
Faustschlag[Noun]	punch
Fax (n)	fax
Faxmaschine (f)	fax machine
Faß (n)	keg
Feder (f)	pen
Feder (f)	spring
Feder[Noun]	feather
Federballspiel, das[Noun]	badminton
Federbett[Noun]	featherbed
Federn[Noun]	feathers
Fee[Noun]	fairy
Feen[Noun]	fairies
Fehl-[Adjective]	mal
Fehlersignal (n)	alarm
Fehlzündung	backfire
Feier (f)	celebration
Feierlichkeit (f)	ceremony
Feigen (pl)	figs
Feigheit	wimpiness
Feigling, Waschlappen	wimp
Feile (f)	file
Feinheit (f)	nuance
Feld[Noun]	field
Fellatio[Noun]	fellatio
Fels (m)	rock
Felsen (m)	rock
Fenster	window
Fenster (n)	window
Fenster (pl)	windows
Fensterglas (n)	window glass
Fensterplatz (m)	window seat
Fensterscheibe	windowpane
Fensterscheiben	windowpanes
Fernsehen (n)	television
Fernsehennachrichten (pl)	television news
Fernsehenprogramm (n)	television program
Fernsprecher (m)	telephone
Ferse (f)	heel
Fersprechzeller (m)	telephone booth
Fessel (f)	bond
Fest	feast
Fest (n)	celebration
Feste[Noun]	feasts
Festrate (f)	fixed rate
Festung (f)	fortress
Fett (n)	grease
Fettleibigkeit[Noun]	obesity
Feuer (n)	fire
Feuerdrill (m)	fire drill
Feuerstelle (f)	hearth
Feuerwehrmann (m)	fireman
Feuezeug (n)	cigarette lighter
Fichte (f)	pine
Fieber (n)	fever
Fieber (n)	temperature
Filet (n)	filet
Filet (n)	steak
Film (m)	movie
Film (n)	film
Filme (pl)	movies
Filmrolle (f)	roll of film
Filz[Noun]	felt
Finanzierer[Noun]	backer
Finger (m)	finger
Finger (pl)	fingers
Finger...[Adjective]	dactylic
Fingerabdruck (m)	fingerprint
Fingeressen (n)	finger food
Fingerknöchel (m)	knuckle
Fingernagel (m)	fingernail
Finsternis[Noun]	darkness
Firma (n)	company
Fisch (m)	fish
Fische (f)	Pisces
Fischer (m)	fisherman
Fischerboot (n)	fishing boat
Flachrate (f)	flat rate
Flaggschiff[Noun]	flagship
Flammenwerfer[Noun]	flamethrower
Flasche (f)	bottle
Flaschewasser (n)	bottled water
Flaum (m)	down
Fledermaus	bat
Fleisch (n)	meat
Fleischbrühe (f)	broth
Fleischerladen (m)	butcher shop
Fleischton (m)	flesh tone
Flieger (m)	flyer
Fliese (f)	tile
Flittchen (n)	muffin
Flocke[Noun]	flake
Florett, das[Noun]	rapier
Flotte (f)	navy
Flu.chtiger, Flu.chtige	absconder
Flucht (f)	flight
Flug (m)	flight
Flugblatt[Noun]	leaflet
Flughafen	airports
Flughafen (m)	airport
Flugplatz	airfield
Flugplatz (m)	airport
Flugplatze	airfields
Flugzeug	airplane
Flugzeug (n)	airplane
Flugzeug (n)	plane
Flugzeuge	airplanes
Fluß (m)	river
Fläche (f)	area
Fläche (f)	plane
Flöte (f)	flute
Flügel (m)	wing
Fo.deralismus[Noun]	federalism
Folkmusik (f)	folk music
Forelle (f)	trout
Form	form
Form (f)	mold
Form (f)	shape
Formaldehyd	formaldehyde
Format (n)	format
Forst (m)	forest
Fortschritt (m)[Noun]	progress
Fotoabzug (m)	print
Fotograf (m)	photographer
Fra.ulein[Noun]	mademoiselle
Fra.uleins[Noun]	mademoiselles
Frage (f)	query
Frage (f)	question
Frankreich	France
Fratze (f)	face
Frau (f)	Mrs.
Frau (f)	Ms.
Frau (f)	female
Frau (f)	wife
Frau (f)	woman
Frauen (pl)	women
Frauenkleidungen (pl)	women's clothes
Frechheit (f)	cheek
Freiasse, Pächter[Noun]	yeoman
Freitag	friday
Freudenfeuer (m)	bonfire
Freund (m)	boyfriend
Freund (m)	friend
Freundin (f)	friend
Freundin (f)	girlfriend
Friseur (m)	barber
Friseur (m)	hairdresser
Friseure (pl)[Noun]	hairdressers
Friseurladen (m)	barbershop
Friseuse (f)	hairdresser
Frisur (f)[Noun]	hairstyle
Frisur[Noun]	haircut
Frisur[Noun]	hairdo
Frisuren[Noun]	haircuts
Frisuren[Noun]	hairdos
Front (f)	front
Frost (m)	frost
Frucht (f)	fruit
Fräsmaschine (f)	mill
Frühjahr (n)	spring
Frühkindheit[Noun]	babyhood
Frühling (m)	spring
Frühstück (n)	breakfast
Früstück (n)	breakfast
Fuge (f)	joint
Fuhrmann	wagoner
Fundbüro (n)	lost property
Funktion (f)	function
Furche (f)	line
Furcht[Noun]	fear
Furchtlosigkeit[Noun]	fearlessness
Furnier (n)	veneer
Furz (n)	fart
Fussknöchel (m)	ankle
Fusstritt (m)	kick
Futter (n)	food
Fuß (m)	foot
Fußball (m)	soccer
Fußboden (m)	floor
Fußdecke (f)	carpet
Fächer (m)	fan
Fähigkeit (f)	ability
Fähigkeit (f)	capability
Fähigkeiten	abilities
Fähre (f)	ferry boat
Fährt ein Zug durch nach (...)	is there a through train to (...)
Fühler (m)	antenna
Führtefahrt (f)	guided tour
Führung (f)	guide
Fülle, Übermaß	abundance
Füße (pl)	feet
Füßgänger (pl)	pedestrians
Ga.nse[Noun]	geese
Gabardine (f)	gabardine
Gabe (f)	donation
Gabe (f)	gift
Gabel	fork
Gabel (f)	fork
Gabeln	forks
Gag[Noun]	gag
Gang (m)	aisle
Gang (m)	walk
Gang, Schaltung[Noun]	gear
Gangplatz (m)	aisle seat
Gans (f)	goose
Ganze (n)	whole
Garage (f)	garage
Garderobe	clothes
Garn (n)	yarn
Garnele (f)	shrimp
Gas (n)	gas
Gasolin (n)	gasoline
Gaspedal	accelerator
Gasqualen (pl)	gas pains
Gasse	alley
Gast (m)	guest
Gastgeber (m)	host
Gastgeberin (f)	hostess
Gasthaus (n)	inn
Gatte (m)	husband
Gattin (f)	wife
Gaze (f)	gauze
Geba.ude[Noun]	edifice
Geba.ude[Noun]	edifices
Gebiet (n)	area
Gebiet (n)	region
Gebiet (n)	zone
Gebieter (m)	master
Gebietkarte (f)	map of the area
Gebirge (n)	mountain
Gebirge (pl)	mountains
Geblütt (n)	family
Geborgenheit (f)	safety
Gebräuche (pl)	customs
Gebu.hr[Noun]	fee
Geburt (f)	birth
Geburtstag (m)	birthday
Gebäck (n)	pastry
Gebäude (n)	building
Gebühr (f)	charge
Gebühren (pl)	charges
Gedächtnis (n)	memory
Gefahr (f)	danger
Gefahr (f)	hazard
Gefahren, pl.[Noun]	dangers
Gefangehner[Noun]	prisoner
Geflügel (n)	fowl
Geflügel (n)	poultry
Gefängnis (n)	jail
Gefäß (n)	jar
Gefäß (n)	vessel
Gegacker[Noun]	cackle
Gegend	region
Gegenteil (m)	reverse
Gegner[Noun]	opponent
Gegner[Noun]	opponents
Gehacktes[Noun]	mince
Gehirn (n)	brain
Gehorsam	obedience
Gehorsam[Noun]	obeisance
Gehstock[Noun]	walkingstick
Gehäuse (f)	cabinet
Geier (m)	vulture
Geisha	geisha
Geiss (f)	goat
Geist (m)	ghost
Geist (m)	spirit
Geistesabwesenheit	absentmindedness
Geistliche (m)	minister
Gel[Noun]	gel
Gelatine[Noun]	gelatine
Gelbe Narzisse, Osterblume	daff
Gelbe Narzisse, Osterblume[Noun]	daffodil
Gelbe Narzissen, Osterblumen[Noun]	daffodils
Gelbfieber (n)	yellow fever
Geld	money
Geld (n)	money
Geldbeutel (m)	purse
Geldsa.cke	moneybags
Geldschein (m)	bill
Geldschein (m)	note
Geldschrank (m)	safe
Geldstrafe (f)	fine
Geldverleiher	moneylender
Geldverleiher	moneylenders
Geldwechsler (m)	money changer
Gelee (n)	jelly
Gelegenheit[Noun]	occasion
Gelegenheit[Noun]	opportunity
Gelegenheiten[Noun]	occasions
Gelegenheiten[Noun]	opportunities
Gelenk (n)	hinge
Gelenk (n)	joint
Gelenk (n)	knuckle
Geliebte (f)	lover
Gelübde (n)	vow
Gemahl (m)	husband
Gemeinde (f)	community
Gemeinsame Markt (m)	common market
Gemeinschaft (f)	community
Gemini	Gemini
Gemu.se[Noun]	vegetables
Gemälde (n)	painting
Gemüse (n)	vegetable
Gemüsesuppe (f)	minestrone soup
Gemüt (n)	heart
Gemüt (n)	spirit
Gene[Noun]	genes
Genealogie (f)	genealogy
Genera.le[Noun]	generals
Generalsrang[Noun]	generalship
Generation[Noun]	generation
Generationen[Noun]	generations
Generator[Noun]	generator
Genesis[Noun]	genesis
Genetik[Noun]	genetics
Genie[Noun]	genius
Genies[Noun]	geniuses
Genitiv[Noun]	genitive
Genossenschaft (f)	association
Geologe (m)	geologist
Geologie (f)	geology
Georg	George
Gepaeck, das[Noun]	baggage
Gepaecktraeger, der	baggageman
Gepaecktraeger, die	baggagemen
Gepräge (f)	stamp
Gepäck (n)	luggage
Gepäckstücke (pl)	luggage
Gepäckträger (m)	carrier
Gepäckträger (m)	porter
Gericht (n)	bar
Gericht (n)	court of justice
Gericht (n)	dish
Gerichtsverhandlung (f)	trial
German	target_language
Geruch[Noun]	odor
Gerät (n)	tool
Geräusch (n)	sound
Gerücht (n)	rumor
Gesang (m)	chant
Geschenk (n)	gift
Geschenkladen (m)	gift shop
Geschichte (f)	history
Geschichte (f)	story
Geschirrspülmaschine (f)	dishwasher
Geschlecht (n)	family
Geschlecht (n)	sex
Geschlecht[Noun]	gender
Geschlechtsteile[Noun]	genitals
Geschwindigkeit (f)	going
Geschwindigkeit[Noun]	velocity
Geschwindigkeiten[Noun]	velocities
Geschwindigkeitgrenze (f)	speed limit
Geschwindigkeitsüberschreitung (f)	speeding
Geschwu.r[Noun]	ulcer
Geschwu.re	ulcers
Geschäft (n)	bargain
Geschäft (n)	business
Geschäft (n)	shop
Geschäft (n)	store
Geschäft (n)	trade
Geschäftsfrau (f)	businesswoman
Geschäftsführer (m)	manager
Geschäftsführerin (f)	manageress
Geschäftsmann (m)	businessman
Geschäftsstelle (f)	office
Geschütz (n)	gun
Gesellschaft (f)	association
Gesellschaft (f)	company
Gesellschaft (f)	limited partnership
Gesellschaft (f)	party
Gesetz (n)	law
Gesichstlosigkeit[Noun]	facelessness
Gesicht (n)	face
Gesichter[Noun]	faces
Gesichtspuder (m)	face powder
Gesichtsseife (f)	facial soap
Gespeichertes (pl)	savings
Gespenster (m)	ghost
Gespräch (n)	conversation
Gestalt (f)	frame
Gestalt (f)	shape
Gestell (n)	stand
Gestrüpp (n)	brush
Gesund (m)	sound
Gesundheit (f)	health
Gesäß (n)	buttocks
Getreide (n)	cereal
Getreide (n)	corn
Getreidepflanze (f)	cereal
Getriebe (pl)	gears
Getriebe[Noun]	gear
Getränk (n)	drink
Gewebe (n)	tissue
Gewehr (n)	gun
Gewehr (n)	rifle
Gewerbe (f)	trade
Gewerbe (n)	business
Gewicht	weight
Gewicht (n)	weight
Gewichte	weights
Gewichtigkeit	weightiness
Gewichtslosigkeit	weightlessness
Gewichtslosigkeit, Leichtigkeit	weightlessness
Gewinn[Noun]	gain
Gewinner (m)	winner
Gewirr (n)	confusion
Gewitter (n)	thunder storm
Gewohnheit (f)	custom
Gewohnheit[Noun]	habit
Gift (n)	poison
Gift[Noun]	venom
Gin (m)	gin
Giraffe (f)	giraffe
Gischt (f)	spray
Gischtbüchse (f)	spray can
Gischtflasche (f)	spray bottle
Gitarre (f)	guitar
Glas (n)	glass
Glatzkopf, der	baldhead
Glauben schenken	credit
Glauber[Noun]	believer
Gleichgewicht, das	balance
Gleichgewichte, die	balances
Gliederung (f)	set up
Globus (m)	globe
Glocke (f)	bell
Glockenturm (m)	belfry
Glu.ckwunsch	felicitation
Glut (f)	heat
Glut (f)	passion
Glück (n)	fortune
Glücksspiel (n)	gamble
GmbH	Inc.
Gnade (f)	grace
Gold (n)	gold
Goot	letter
Gott (m)	God
Gottesdienst (m)	service
Gotteshaus (n)	church
Grad (m)	grade
Graf (England)	earl
Graf (England)[Noun]	earl
Grafen[Noun]	earls
Grafschaft[Noun]	earldom
Gramm (n)	gram
Grammatik (f)	grammar
Granatenbeschuß[Noun]	shellfire
Gras (n)	grass
Gratifikation (f)	gratuity
Gratulanten	wellwisher
Grazie (f)	grace
Greis (m)	old man
Grenze (f)	border
Grenze (f)	limit
Griff (m)	handle
Grill (m)	grill
Grippe (f)	flu
Gro.ssenorgnund[Noun]	magnitude
Gros.buchstabe[Noun]	majuscule
Gros.buchstaben-[Adjective]	majuscular
Grossbuchstabe[Noun]	uppercase
Grossbuchstaben[Noun]	uppercases
Grosszu.gigkeit[Noun]	generosity
Grotte (f)	grotto
Großmutter (f)	grandmother
Großmutter, Oma (russ.)[Noun]	babushka
Großvater (m)	grandfather
Grube (f)	mine
Grund (m)	ground
Grundanschauung (f)	philosophy
Grundbesitz (m)	estate
Grundhaltung (f)	tenor
Grundlage (f)	base
Grundsatz (m)	policy
Gruppe (f)	wing
Gräte (f)	bone
Gründung (f)	establishment
Guava (n)	guava
Gurgel (f)	throat
Gurke (f)	cucumber
Gurtband, Taillenband	waistband
Guthaben (n)	credit
Guthabenbrief (m)	letter of credit
Gymnasium (n)	college
Gymnasium (n)	grammar school
Gymnasium (n)	high school
Gähnen (n)	yawn
Gör (f)	girl
Gürtel (m)	belt
Güte (f)	quality
H (Musik)[Noun]	b
Ha.sslichkeit[Noun]	ugliness
Haar (n)	hair
Haarbu.rste (f)[Noun]	hairbrush
Haarbürste (f)	hair brush
Haare (pl)	hair
Haare[Noun]	hairs
Haaresbreite (f)[Noun]	hairsbreadth
Haarlinie, haarfeine Linie[Noun]	hairline
Haarlinien (pl)[Noun]	hairlines
Haarlosigkeit[Noun]	hairlessness
Haarnadel[Noun]	hairpin
Haarschnitt (m)	haircut
Haarschnitte[Noun]	haircuts
Haarspalter (m)[Noun]	hairsplitter
Haarspalterei (f)[Noun]	hairsplitting
Haarspray (n)	hairspray
Haarwaschmittel (n)	lotion
Hacke (f)	heel
Hacker[Noun]	hacker
Hackfleisch[Noun]	mincemeat
Hafer (m)	oat
Hafer[Noun]	oats
Hafermehl[Noun]	oatmeal
Hagel[Noun]	hail
Hagelkorn[Noun]	hailstone
Hagelschauer[Noun]	hailstorm
Hahn (m)	rooster
Hahn (m)	tap
Haiku[Noun]	haiku
Haken (m)	hitch
Halbdutzend (n)	half a dozen
Halbherzigkeit (f)[Noun]	halfheartedness
Halbinsel[Noun]	peninsula
Halbkilo (n)	half a kilogram
Halbkreis (m)[Noun]	halfcircle
Halbpfund (n)	half a pound
Halbtag (m)	half a day
Halbton[Noun]	halftone
Halbzeit[Noun]	halftime
Halften (pl)[Noun]	halves
Halfter (m[Noun]	halter
Halle (f)[Noun]	hall
Hallejuja (n)[Noun]	hallelujah
Hallelujas (pl)[Noun]	hallelujahs
Hallen (pl)[Noun]	halls
Hallo	hallo
Halogen[Noun]	halogen
Halogene (pl)[Noun]	halogens
Halogenierung (f)[Noun]	halogenation
Hals (m)	neck
Hals (m)	throat
Halsband (n)	necklace
Halskette (f)	necklace
Halskette[Noun]	necklaces
Halsschmerzen (m)	sore throat
Halstuch, das	bandana
Halstuch[Noun]	neckerchief
Halsweh (m)	sore throat
Halt (m)	stop
Haltestelle (f)	bus stop
Hamlet[Noun]	hamlet
Hammer (m)	hammer
Hand (f)	hand
Handbuch (n)	guide
Handbuch (n)	manual
Handel (m)	bargain
Handel (m)	trade
Handelsmarke (f)	trademark
Handgelenk (n)	wrist
Handgepäck (n)	carry-on luggage
Handgepäck (n)	hand baggage
Handkoffer (m)	suitcase
Handlung[Noun]	act
Handschellen (pl)[Noun]	handcuffs
Handschellen anlegen[Verb]	handcuff
Handtasche (f)	handbag
Handtaschen (pl)[Noun]	handbags
Handtuch (n)	towel
Handtücher (pl)	towels
Handwerker (m)	artisan
Hangematten (pl)[Noun]	hammocks
Hans	jack
Hanswurst, Possenreisser	zany
Hartna.ckigkeit[Noun]	obstinacy
Hase (m)	hare
Haspe (f)	hinge
Hast (f)	haste
Haube (f)	cap
Haube (f)	hood
Hauch (m)	breath
Haupt (m)	head
Haupt (m)	master
Hauptplatz (m)	main square
Hauptsegel[Noun]	mainsail
Hauptstadt (f)	capital
Hauptteil (m)	body
Hauptwort (n)	noun
Hauptzeugnis (n)	staple
Haus (n)	house
Hausboot[Noun]	houseboats
Hausbrot[Noun]	housebreak
Hausfrau (f)	housewife
Hausfrau (f)	lady of the house
Haushaltsgehilfe[Noun]	housekeeper
Haushaltswaren	housewares
Hausmädchen	housemate
Hausmädchen[Noun]	housemaid
Haustier (n)	pet
Hauswein (m)	house wine
Hebamme[Noun]	midwife
Hebammen[Noun]	midwives
Hebel[Noun]	lever
Heeres[Noun]	army
Hefe (f)	yeast
Heft (n)	handle
Heft (n)	notebook
Heftklamme (f)	staple
Heftklammer (m)	stapler
Heide[Noun]	gentile
Heiden[Noun]	gentiles
Heilbutt (m)	halibut
Heilbutte (pl)[Noun]	halibuts
Heiler[Noun]	curer
Heilige (m)	saint
Heiligkeit[Noun]	sacredness
Heilung[Noun]	cure
Heim (n)	home
Heimat (f)	home
Heirat (f)	marriage
Heirat[Noun]	wedding
Heizko.rper[Noun]	radiators
Heizkörper (m)	heater
Heizkörper (m)	radiator
Heizung (f)	heating
Heizvorrichtung (f)	heater
Helfer	aide
Helfer	aider
Hemd (n)	shirt
Henne (f)	hen
Herausgeber (m)	editorial
Herausgeber[Noun]	editors
Herberge (f)	hostel
Herbst (m)	autumn
Herbst (m)	fall
Herbst[Noun]	autumn
Herd (m)	hearth
Herd (m)	stove
Hering (m)	herring
Herkunft (f)	birth
Hermelin (m)	ermine
Hermelinpelz (m)	ermine
Herr (m)	Mr.
Herr (m)	sir
Herrenfriseur (m)	barber
Herrenmoden[Noun]	haberdashery
Herrschaft (f)	estate
Herrscher (m)	ruler
Hersteller (m)	producer
Hersteller[Noun]	fabricant
Herstellung (f)	production
Herz (n)	heart
Herzfehler (m)	cardiac condition
Herzogin[Noun]	duchess
Herzoginnen[Noun]	duchesses
Herzogtu.,er	duchies
Herzogtum[Noun]	duchy
Heu (n)	hay
Heusamen (m)	hayseed
Heuschnupfen (m)	hay fever
Hexe (f)[Noun]	bitch
Hexe[Noun]	hag
Hexe[Noun]	witch
Hexen[Noun]	witches
Hexerei (f)	voodoo
Hexerei[Noun]	witchcraft
Hilfe	aid
Hilfe (f)	aid
Hilfe (f)	help
Hilfefeile (f)	help file
Hilfeleistung (f)	aid
Hilflosigkeit	helplessness
Himbeere (f)	raspberry
Himmel (m)	heaven
Himmel (m)	sky
Himmelreich (n)	heaven
Himmelskarte (f)	map
Hindernis[Noun]	obstacle
Hindernisse[Noun]	obstacles
Hindu (m)	Hindu
Hintergrund	background
Hintergründe	backgrounds
Hinterlaender, die[Noun]	backwaters
Hinterland, das[Noun]	backwater
Hinterland[Noun]	backcountry
Hinterwaeldler	backward
Hinterwälder (m)	backwoods
Hinweis, Tip, Ratschlag[Noun]	hint
Hinweise, Tips, Ratschläge[Noun]	hints
Hippie, Blumenkind[Noun]	hippie
Hippies, Blumenkinder[Noun]	hippies
Hirn (n)	brain
Hirse[Noun]	millet
Hitze (f)	heat
Hobby (n)	hobby
Hobel (m)	plane
Hochmut (m)	arrogance
Hochschule (f)	university
Hochstraße (f)	highway
Hochstraße (f)	main highway
Hochzeit	wedding
Hochzeit (f)	marriage
Hochzeit (f)	wedding
Hochzeit[Noun]	marriage
Hochzeitstag	anniversary
Hochzeitstage	anniversaries
Hocker (m)	stool
Hoehe	altitude
Hof (m)	yard
Hoheit[Noun]	majesty
Hohlraum (n)	vacuum
Holm[Noun]	arbor
Holz (n)	wood
Holzschnitzer (m)[Noun]	woodcutter
Holzschuh[Noun]	sabot
Holzverkleidung, ta.feln	wainscot
Hoppla[Noun]	oops
Hostie (f)	host
Hotel (n)	hotel
Hotelpage (m)	bellboy
Hu.tte[Noun]	cabin
Hubschrauber (m)	helicopter
Huette[Noun]	cabins
Hufeisen (horseshoe)[Noun]	shoe
Huhn (n)	Chicken
Huhn (n)	fowl
Hummer (m)	lobster
Hummer[Noun]	lobster
Hummer[Pronoun]	lobsters
Hund (m)	dog
Hure[Noun]	whore
Husten (m)	cough
Hut (m)	hat
Hähnchen (m)	chicken
Hähnchen (n)	chicken
Hälfte (f)	half
Hängematte (f)	hammock
Häuschen (n)	cabin
Häuschen (n)	cottage
Häuser	houses
Höchstgrenze (f)	limit
Höchstwert (m)	maximum
Höflichkeit (f)	courtesy
Höhe (f)	altitude
Höhenlage (f)	altitude
Hölle (f)	hell
Höschen (pl)	panties
Hüftbein[Noun]	hipbone
Hüfte (f)	hip
Hüften, Hagebutten, [Noun]	hips
Hühnerauge (n)	corn
Hülle (f)	envelope
Hütte (f)	cabin
Hütte (f)	cottage
